Start Time,Date,Month,Time,Hour,Minute,A124 (HQ),A136 (HQ),A143 (HQ),A168 (HQ),A226 (HQ),A235 (HQ),A236 (HQ),A318 (HQ),A345 (HQ),A346 (HQ),Boardroom (HQ),District Counsel (HQ),B108 (Admin),B124 (Admin),B207 (Admin),B228 (Admin),B232 (Admin),C209,C212,C225,D102,D131,Evergreen (BHA),G111 (BHA),G112 (BHA),Maple (BHA),R-316 Rinc,Computers (BHA)
10/13/15 0:00,10/13/15,10,0:00:00,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 0:15,10/13/15,10,0:15:00,0,15,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 0:30,10/13/15,10,0:30:00,0,30,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 0:45,10/13/15,10,0:45:00,0,45,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 1:00,10/13/15,10,1:00:00,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 1:15,10/13/15,10,1:15:00,1,15,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 1:30,10/13/15,10,1:30:00,1,30,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 1:45,10/13/15,10,1:45:00,1,45,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 2:00,10/13/15,10,2:00:00,2,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 2:15,10/13/15,10,2:15:00,2,15,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 2:30,10/13/15,10,2:30:00,2,30,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 2:45,10/13/15,10,2:45:00,2,45,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 3:00,10/13/15,10,3:00:00,3,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 3:15,10/13/15,10,3:15:00,3,15,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 3:30,10/13/15,10,3:30:00,3,30,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 3:45,10/13/15,10,3:45:00,3,45,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 4:00,10/13/15,10,4:00:00,4,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 4:15,10/13/15,10,4:15:00,4,15,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 4:30,10/13/15,10,4:30:00,4,30,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 4:45,10/13/15,10,4:45:00,4,45,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 5:00,10/13/15,10,5:00:00,5,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 5:15,10/13/15,10,5:15:00,5,15,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 5:30,10/13/15,10,5:30:00,5,30,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 5:45,10/13/15,10,5:45:00,5,45,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 6:00,10/13/15,10,6:00:00,6,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 6:15,10/13/15,10,6:15:00,6,15,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 6:30,10/13/15,10,6:30:00,6,30,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 6:45,10/13/15,10,6:45:00,6,45,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 7:00,10/13/15,10,7:00:00,7,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1
10/13/15 7:15,10/13/15,10,7:15:00,7,15,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1
10/13/15 7:30,10/13/15,10,7:30:00,7,30,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1
10/13/15 7:45,10/13/15,10,7:45:00,7,45,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1
10/13/15 8:00,10/13/15,10,8:00:00,8,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,9,1,0,0,2,0,2,0,0,2,0,2
10/13/15 8:15,10/13/15,10,8:15:00,8,15,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,9,1,0,0,2,0,2,0,0,2,0,2
10/13/15 8:30,10/13/15,10,8:30:00,8,30,0,1,1,3,0,4,1,0,0,1,0,0,0,7,0,0,9,1,0,0,1,0,1,0,0,1,0,1
10/13/15 8:45,10/13/15,10,8:45:00,8,45,0,1,1,3,0,4,1,0,0,1,0,0,0,7,0,0,9,1,0,0,1,0,1,0,0,1,0,1
10/13/15 9:00,10/13/15,10,9:00:00,9,0,0,1,0,2,1,2,1,0,0,1,0,0,0,4,0,0,1,1,3,0,1,6,1,0,0,1,0,1
10/13/15 9:15,10/13/15,10,9:15:00,9,15,0,1,0,2,1,2,1,0,0,1,0,0,0,4,0,0,1,1,3,0,1,6,1,0,0,1,0,1
